,state,year,agi_stub,income_type,amount
249,MA,2012,7,returns,"462,230"
250,MA,2012,8,returns,"147,470"
251,MA,2012,9,returns,"24,640"
252,MA,2012,10,returns,"13,710"
253,MI,2012,0,returns,"4,631,040"
254,MI,2012,1,returns,"66,870"
255,MI,2012,2,returns,"866,280"
256,MI,2012,3,returns,"1,100,750"
257,MI,2012,4,returns,"1,007,780"
258,MI,2012,5,returns,"608,610"
259,MI,2012,6,returns,"393,420"
260,MI,2012,7,returns,"465,630"
261,MI,2012,8,returns,"98,020"
262,MI,2012,9,returns,"15,890"
263,MI,2012,10,returns,"7,810"
264,MN,2012,0,returns,"2,619,920"
265,MN,2012,1,returns,"31,760"
266,MN,2012,2,returns,"403,960"
267,MN,2012,3,returns,"503,770"
268,MN,2012,4,returns,"607,240"
269,MN,2012,5,returns,"381,340"
270,MN,2012,6,returns,"262,500"
271,MN,2012,7,returns,"328,030"
272,MN,2012,8,returns,"81,160"
273,MN,2012,9,returns,"13,650"
274,MN,2012,10,returns,"6,530"
275,MS,2012,0,returns,"1,250,140"
276,MS,2012,1,returns,"16,680"
277,MS,2012,2,returns,"202,600"
278,MS,2012,3,returns,"387,890"
279,MS,2012,4,returns,"301,530"
280,MS,2012,5,returns,"144,710"
281,MS,2012,6,returns,"84,150"
282,MS,2012,7,returns,"89,520"
283,MS,2012,8,returns,"18,410"
284,MS,2012,9,returns,"3,190"
285,MS,2012,10,returns,"1,460"
286,MO,2012,0,returns,"2,728,430"
287,MO,2012,1,returns,"40,960"
288,MO,2012,2,returns,"458,610"
289,MO,2012,3,returns,"650,170"
290,MO,2012,4,returns,"656,370"
291,MO,2012,5,returns,"370,630"
292,MO,2012,6,returns,"229,170"
293,MO,2012,7,returns,"252,350"
294,MO,2012,8,returns,"55,340"
295,MO,2012,9,returns,"9,860"
296,MO,2012,10,returns,"4,950"
297,MT,2012,0,returns,"485,250"
298,MT,2012,1,returns,"10,380"
299,MT,2012,2,returns,"84,910"
300,MT,2012,3,returns,"114,890"
301,MT,2012,4,returns,"113,010"
302,MT,2012,5,returns,"66,270"
303,MT,2012,6,returns,"42,040"
304,MT,2012,7,returns,"42,070"
305,MT,2012,8,returns,"9,230"
306,MT,2012,9,returns,"1,680"
307,MT,2012,10,returns,790
308,NE,2012,0,returns,"871,940"
309,NE,2012,1,returns,"11,790"
310,NE,2012,2,returns,"135,390"
311,NE,2012,3,returns,"187,010"
312,NE,2012,4,returns,"213,860"
313,NE,2012,5,returns,"125,190"
314,NE,2012,6,returns,"82,470"
315,NE,2012,7,returns,"90,530"
316,NE,2012,8,returns,"20,280"
317,NE,2012,9,returns,"3,580"
318,NE,2012,10,returns,"1,850"
319,NV,2012,0,returns,"1,289,360"
320,NV,2012,1,returns,"24,460"
321,NV,2012,2,returns,"168,490"
322,NV,2012,3,returns,"325,530"
323,NV,2012,4,returns,"348,280"
324,NV,2012,5,returns,"174,450"
325,NV,2012,6,returns,"101,160"
326,NV,2012,7,returns,"114,430"
327,NV,2012,8,returns,"24,840"
328,NV,2012,9,returns,"4,420"
329,NV,2012,10,returns,"3,300"
330,NH,2012,0,returns,"679,910"
331,NH,2012,1,returns,"9,120"
332,NH,2012,2,returns,"105,510"
333,NH,2012,3,returns,"130,460"
334,NH,2012,4,returns,"154,650"
335,NH,2012,5,returns,"96,660"
336,NH,2012,6,returns,"66,180"
337,NH,2012,7,returns,"91,540"
338,NH,2012,8,returns,"21,470"
339,NH,2012,9,returns,"2,890"
340,NH,2012,10,returns,"1,420"
341,NJ,2012,0,returns,"4,307,560"
342,NJ,2012,1,returns,"59,740"
343,NJ,2012,2,returns,"642,040"
344,NJ,2012,3,returns,"848,220"
345,NJ,2012,4,returns,"895,800"
346,NJ,2012,5,returns,"569,810"
347,NJ,2012,6,returns,"390,610"
348,NJ,2012,7,returns,"641,270"
349,NJ,2012,8,returns,"209,300"
350,NJ,2012,9,returns,"33,740"
351,NJ,2012,10,returns,"17,040"
352,NM,2012,0,returns,"905,340"
353,NM,2012,1,returns,"15,880"
354,NM,2012,2,returns,"155,010"
355,NM,2012,3,returns,"237,140"
356,NM,2012,4,returns,"220,250"
357,NM,2012,5,returns,"112,210"
358,NM,2012,6,returns,"67,740"
359,NM,2012,7,returns,"77,390"
360,NM,2012,8,returns,"16,340"
361,NM,2012,9,returns,"2,260"
362,NM,2012,10,returns,"1,140"
363,NY,2012,0,returns,"9,363,750"
364,NY,2012,1,returns,"133,190"
365,NY,2012,2,returns,"1,568,300"
366,NY,2012,3,returns,"2,110,170"
367,NY,2012,4,returns,"2,074,140"
368,NY,2012,5,returns,"1,218,270"
369,NY,2012,6,returns,"775,430"
370,NY,2012,7,returns,"1,065,270"
371,NY,2012,8,returns,"313,540"
372,NY,2012,9,returns,"61,620"
373,NY,2012,10,returns,"43,820"
374,NC,2012,0,returns,"4,287,590"
375,NC,2012,1,returns,"57,460"
376,NC,2012,2,returns,"665,480"
377,NC,2012,3,returns,"1,097,350"
378,NC,2012,4,returns,"1,073,150"
379,NC,2012,5,returns,"540,690"
380,NC,2012,6,returns,"334,640"
381,NC,2012,7,returns,"396,560"
382,NC,2012,8,returns,"99,820"
383,NC,2012,9,returns,"15,520"
384,NC,2012,10,returns,"6,930"
385,ND,2012,0,returns,"353,830"
386,ND,2012,1,returns,"4,190"
387,ND,2012,2,returns,"48,510"
388,ND,2012,3,returns,"71,240"
389,ND,2012,4,returns,"84,230"
390,ND,2012,5,returns,"50,810"
391,ND,2012,6,returns,"37,180"
392,ND,2012,7,returns,"42,790"
393,ND,2012,8,returns,"11,310"
394,ND,2012,9,returns,"2,310"
395,ND,2012,10,returns,"1,240"
396,OH,2012,0,returns,"5,507,560"
397,OH,2012,1,returns,"61,920"
398,OH,2012,2,returns,"897,200"
399,OH,2012,3,returns,"1,276,540"
400,OH,2012,4,returns,"1,390,660"
401,OH,2012,5,returns,"780,350"
402,OH,2012,6,returns,"468,990"
403,OH,2012,7,returns,"493,930"
404,OH,2012,8,returns,"109,250"
405,OH,2012,9,returns,"19,450"
406,OH,2012,10,returns,"9,280"
407,OK,2012,0,returns,"1,618,460"
408,OK,2012,1,returns,"22,350"
409,OK,2012,2,returns,"247,150"
410,OK,2012,3,returns,"393,030"
411,OK,2012,4,returns,"408,090"
412,OK,2012,5,returns,"220,670"
413,OK,2012,6,returns,"134,240"
414,OK,2012,7,returns,"147,520"
415,OK,2012,8,returns,"35,090"
416,OK,2012,9,returns,"6,510"
417,OK,2012,10,returns,"3,820"
418,OR,2012,0,returns,"1,768,810"
419,OR,2012,1,returns,"33,530"
420,OR,2012,2,returns,"266,420"
421,OR,2012,3,returns,"405,270"
422,OR,2012,4,returns,"421,560"
423,OR,2012,5,returns,"248,800"
424,OR,2012,6,returns,"158,030"
425,OR,2012,7,returns,"183,090"
426,OR,2012,8,returns,"43,010"
427,OR,2012,9,returns,"6,320"
428,OR,2012,10,returns,"2,770"
429,PA,2012,0,returns,"6,134,120"
430,PA,2012,1,returns,"74,150"
431,PA,2012,2,returns,"1,064,950"
432,PA,2012,3,returns,"1,288,880"
433,PA,2012,4,returns,"1,428,370"
434,PA,2012,5,returns,"858,100"
435,PA,2012,6,returns,"549,840"
436,PA,2012,7,returns,"665,050"
437,PA,2012,8,returns,"164,580"
438,PA,2012,9,returns,"26,920"
